ID,Epic,Story,Priority,Week,Estimate,Status,Owner,AcceptanceCriteria
SGLH-1,Setup,Fork Cowrie and run its experimental LLM backend against local Ollama,P0,1,M,Todo,Backend/Integration,"Cowrie fork boots; LLM backend answers a command via local Ollama; documented run steps"
SGLH-2,Setup,Select and pin the LLM (qwen2.5:3b default; 7-8B candidates),P0,1,S,Todo,ML/LLM,"Model + version pinned in .env and README; pulled via ollama pull; reproducible"
SGLH-3,Setup,Repo scaffold (structure README .gitignore LICENSE runnable demo),P0,1,S,Done,Lead/DevOps,"Tree created; python -m state_grounded runs; pytest green"
SGLH-4,Setup,Docker support (Dockerfile per component + docker-compose.yml),P0,1,M,Done,DevOps,"compose file valid; middleware image builds and runs demo"
SGLH-5,Harness,Define scripted-session format and versioned sample sessions,P0,1,S,Doing,QA/Eval,"JSON schema agreed; >=1 sample session committed; loader reads them"
SGLH-6,Harness,Implement session runner + metric scoring,P0,1,L,Todo,QA/Eval,"Replays sessions; computes consistency/detection/latency/LLM-call-rate"
SGLH-7,Harness,Record baseline (before) numbers on vanilla Cowrie+LLM,P0,1,M,Todo,QA/Eval,"before.json produced; numbers documented in report"
SGLH-8,StateEngine,Virtual filesystem model (create/delete/modify files+dirs),P0,2,L,Todo,Backend,"mkdir/rm/touch reflected; ls shows correct contents across many turns; unit tests"
SGLH-9,StateEngine,Track cwd and basic environment variables,P0,2,M,Todo,Backend,"cd/pwd correct; PWD/HOME/USER tracked; unit tests"
SGLH-10,StateEngine,Deterministic fast-path for cd pwd mkdir rm touch ls,P0,2,M,Todo,Backend,"listed commands answered without LLM; correct exit codes"
SGLH-11,StateEngine,Env vars (export echo $VAR) exit code ($?) users (whoami) process table,P0,3,L,Todo,Backend,"export/echo/$?/whoami consistent; basic ps; unit tests"
SGLH-12,Integration,Integrate state engine into Cowrie LLM command flow,P0,3,L,Todo,Integration,"deterministic commands served by engine inside Cowrie; LLM only for the rest"
SGLH-13,Grounding,Inject state snapshot into LLM system prompt before each generation,P0,4,M,Todo,ML/LLM,"snapshot present in prompt; multi-turn responses stay consistent in smoke tests"
SGLH-14,Grounding,Basic response normalization (light contradiction check),P1,4,M,Todo,ML/LLM,"obvious state contradictions caught/regenerated; documented limits"
SGLH-15,Grounding,End-to-end smoke tests on multi-turn sessions,P0,4,S,Todo,QA/Eval,"after build passes scripted multi-turn smoke tests"
SGLH-24,Dashboard,FastAPI backend: read Cowrie JSON event log; GET /api/sessions and /api/sessions/{id},P0,3,L,Todo,Integration/Dashboard,"endpoints return sessions + per-session commands parsed from cowrie.json"
SGLH-25,Dashboard,Live events feed (WebSocket /api/stream),P0,4,M,Todo,Integration/Dashboard,"new events pushed to connected clients without polling"
SGLH-26,Dashboard,React UI: sessions list (IP start-time command-count),P0,4,M,Todo,DevOps/Frontend,"sessions list renders from API; sortable; auto-updates"
SGLH-27,Dashboard,React UI: per-session command timeline with fast-path/LLM badge,P0,4,M,Todo,DevOps/Frontend,"clicking a session shows ordered commands+responses with source badge"
SGLH-28,Dashboard,Dashboard analytics view (commands/session LLM-call-rate top commands),P1,5,M,Todo,DevOps/Frontend,"charts for key metrics rendered from API"
SGLH-29,Dashboard,Add dashboard (backend+frontend) to Docker Compose; basic error handling,P0,6,M,Todo,DevOps,"docker compose up serves dashboard; handles empty/missing log gracefully"
SGLH-16,Evaluation,Run after numbers + before/after comparison,P0,5,M,Todo,QA/Eval,"after.json produced; comparison table generated"
SGLH-17,Evaluation,Ablation study (state tracker vs grounding vs fast-path),P0,5,M,Todo,QA/Eval,"each component's contribution isolated; documented"
SGLH-18,Evaluation,Charts + results write-up,P1,5,M,Todo,QA/Eval,"charts generated; results section drafted"
SGLH-19,Packaging,One-command Docker Compose deploy (cowrie+ollama+middleware),P0,6,M,Todo,DevOps,"docker compose up brings full stack online; model pulled at setup"
SGLH-20,Packaging,README system requirements + setup; finalize config and CI/tests,P1,6,M,Todo,Docs/DevOps,"README complete; CI green on PR; tests pass"
SGLH-21,Delivery,Record demo (vanilla breaks character vs grounded stays consistent),P0,6,S,Todo,All,"demo recording shows clear before/after on state-dependent commands"
SGLH-22,Delivery,Open upstream PR/issue to Cowrie; finalize report,P0,6,M,Todo,Lead,"PR/issue opened to cowrie/cowrie; final report submitted"
SGLH-23,Stretch,Refusal scrubber / output validator / latency normalizer / prompt-injection defense / TI enrichment,P3,6,L,Todo,All,"only if time allows; not in required MVP scope"
